Cod_setor;Situacao_setor;V001;V002;V003
355030807000032;1;18;0;0
355030807000033;1;61;0;0
355030807000034;1;66;0;0
355030807000035;1;57;0;0
355030807000036;1;60;0;0
355030807000037;1;94;0;0
355030807000038;1;41;0;0
355030807000039;1;70;0;0
355030807000040;1;47;0;0
355030807000041;1;51;0;0
355030807000042;1;61;0;0
355030807000043;1;31;0;0
355030807000044;1;68;0;0
355030807000045;1;4;0;0
355030807000046;1;20;0;0
355030807000047;1;64;0;0
355030807000048;1;26;0;0
355030807000049;1;48;0;0
355030807000050;1;53;0;0
355030807000051;1;54;0;0
355030807000052;1;141;0;0
355030807000053;1;9;0;0
355030807000054;1;46;0;0
355030807000055;1;33;0;0
355030807000056;1;13;0;0
355030807000057;1;38;0;0
355030807000058;1;28;0;0
355030807000059;1;25;1;0
355030807000060;1;11;0;0
355030807000061;1;2;0;0
355030807000062;1;26;0;0
355030807000063;1;38;0;0
355030807000064;1;41;0;0
355030807000065;1;18;0;0
355030807000066;1;81;0;0
355030807000067;1;90;0;0
355030807000068;1;57;0;0
355030807000069;1;1;0;0
355030807000070;1;49;0;0
355030807000071;1;38;0;0
355030807000072;1;51;0;0
355030807000073;1;75;0;0
355030807000074;1;46;0;0
355030807000075;1;21;0;0
355030807000076;1;27;0;0
355030807000077;1;22;0;1
355030807000078;1;34;0;1
355030807000079;1;43;0;0
355030807000080;1;43;0;0
355030807000081;1;0;0;0
355030807000082;1;16;0;0
355030807000083;1;26;0;0
355030807000084;1;8;0;0
355030807000085;1;4;0;0
355030807000086;1;31;0;0
355030807000087;1;34;0;0
355030807000088;1;18;0;0
355030807000089;1;85;0;0
355030807000090;1;96;0;0
355030807000091;1;74;0;0
355030807000092;1;57;0;0
355030807000093;1;37;0;0
355030807000094;1;41;0;0
355030807000095;1;110;0;1
355030807000096;1;19;0;0
355030807000097;1;3;0;0
355030807000098;1;17;0;0
355030807000099;1;94;0;0
355030807000100;1;5;0;0
355030807000101;1;53;0;0
355030807000102;1;24;0;0
355030807000103;1;22;0;0
355030807000104;1;38;0;0
355030807000105;1;104;0;0
355030807000106;1;146;0;0
355030807000107;1;124;0;0
355030807000108;1;124;0;1
355030807000109;1;47;0;0
355030807000110;1;19;0;0
355030807000111;1;59;0;0
355030807000112;1;33;0;0
355030807000113;1;34;0;0
355030807000114;1;70;0;0
355030807000115;1;36;0;0
355030807000116;1;27;0;1
355030807000117;1;26;0;0
355030807000118;1;66;0;0
355030807000119;1;49;0;0
355030807000120;1;17;0;0
355030807000121;1;15;0;0
355030807000123;1;44;0;0
355030807000124;1;52;0;0
355030807000125;1;24;0;0
355030807000126;1;11;0;0
355030807000127;1;10;0;0
355030807000128;1;33;0;0
355030807000129;1;28;0;0
355030807000130;1;18;0;0
355030807000131;1;75;0;0
355030807000132;1;16;0;0
355030807000133;1;5;0;0
355030807000134;1;48;0;0
355030807000135;1;27;0;0
355030807000136;1;10;0;0
355030807000137;1;58;0;0
355030807000138;1;55;0;0
355030807000139;1;20;0;0
355030807000140;1;10;0;0
355030807000141;1;2;0;0
355030807000142;1;17;0;0
355030807000143;1;8;0;0
355030808000001;1;105;0;0
355030808000002;1;55;1;0
355030808000003;1;71;0;3
355030808000004;1;65;0;0
355030808000005;1;79;1;0
355030808000006;1;98;0;0
355030808000007;1;18;0;0
355030808000008;1;103;0;1
355030808000009;1;210;0;0
355030808000010;1;51;0;0
355030808000011;1;55;0;0
355030808000012;1;61;0;0
355030808000013;1;18;0;0
355030808000014;1;46;0;0
355030808000015;1;28;0;0
355030808000016;1;60;0;0
355030808000017;1;86;0;0
355030808000018;1;85;0;0
355030808000019;1;44;0;0
355030808000020;1;62;0;0
355030808000021;1;72;0;0
355030808000022;1;30;0;0
355030808000023;1;142;0;0
355030808000024;1;74;0;0
355030808000025;1;110;0;0
355030808000026;1;157;2;0
355030808000027;1;110;1;0
355030808000028;1;102;0;0
355030808000029;1;91;0;0
355030808000030;1;61;0;0
355030808000031;1;104;1;0
355030808000032;1;63;0;1
355030808000033;1;87;0;0
355030808000034;1;93;0;1
355030808000035;1;81;0;0
355030808000036;1;28;0;0
355030808000037;1;55;0;0
355030808000038;1;42;0;0
355030808000039;1;42;2;0
355030808000040;1;136;1;0
355030808000041;1;47;1;0
355030808000042;1;119;0;0
355030808000043;1;37;0;0
355030808000044;1;166;3;0
355030808000045;1;61;0;0
355030808000046;1;52;1;0
355030808000047;1;46;0;0
355030808000048;1;52;0;0
355030808000049;1;60;0;0
355030808000050;1;43;0;0
355030808000051;1;18;0;0
355030808000052;1;69;0;0
355030808000053;1;63;0;0
355030808000054;1;47;0;0
355030808000055;1;52;0;0
355030808000056;1;15;0;0
355030808000057;1;30;0;0
355030808000058;1;69;0;0
355030808000059;1;46;0;0
355030808000060;1;48;0;0
355030808000061;1;109;0;0
355030808000062;1;78;0;0
355030808000063;1;76;0;0
355030808000064;1;93;0;0
355030808000065;1;204;0;0
355030808000066;1;36;0;0
355030808000067;1;21;0;0
355030808000068;1;30;2;0
