Cod_setor,Situacao_setor,V022,5a15salarios,15oumais
355030806000026,1,153397,50300,30000
355030806000027,1,120883,52700,0
355030806000028,1,2144700,413300,1695400
355030806000029,1,1027062,430389,546157
355030806000030,1,458453,168732,250551
355030806000035,1,,0,0
355030806000037,1,163400,84200,67000
355030807000001,1,2151565,447068,1628500
355030807000002,1,929861,404831,353000
355030807000003,1,1029319,396470,475800
355030807000004,1,435672,108400,200800
355030807000005,1,1062553,286307,713675
355030807000006,1,775348,339298,310800
355030807000007,1,713771,409741,172000
355030807000008,1,1769561,509152,1185234
355030807000009,1,1483660,417950,998350
355030807000010,1,1596214,410300,1130751
355030807000011,1,1347010,418900,848400
355030807000012,1,920041,192540,654300
355030807000013,1,226386,102400,23000
355030807000014,1,371956,157000,29000
355030807000015,1,284936,99300,12000
355030807000016,1,640398,292050,109500
355030807000017,1,529779,189835,53623
355030807000018,1,1191725,509247,445300
355030807000019,1,1174317,435660,638200
355030807000020,1,1322965,555050,617200
355030807000021,1,1417488,210153,1147515
355030807000022,1,1308000,476869,702418
355030807000023,1,371400,144310,191000
355030807000024,1,1087850,510900,484200
355030807000025,1,1000055,268245,632700
355030807000026,1,1562568,532620,914201
355030807000027,1,1614825,557460,961100
355030807000028,1,1618732,218500,1358929
355030807000029,1,337250,111150,219500
355030807000030,1,300330,116650,87000
355030807000031,1,1028148,547890,256502
355030807000032,1,958391,591301,296500
355030807000033,1,521256,265000,75500
355030807000034,1,391945,107000,130200
355030807000035,1,232194,53200,18000
355030807000036,1,295020,77290,56800
355030807000037,1,260085,60600,8000
355030807000038,1,227361,60300,19800
355030807000039,1,364593,143700,28000
355030807000040,1,428183,199298,47000
355030807000041,1,214833,40600,0
355030807000042,1,244034,80700,10000
355030807000043,1,711656,352640,100800
355030807000044,1,276000,77500,24000
355030807000045,1,133593,61588,33000
355030807000046,1,267868,104200,28500
355030807000047,1,612171,304050,124200
355030807000048,1,1175715,600998,393500
355030807000049,1,972967,474380,401000
355030807000050,1,1487442,486103,914408
355030807000051,1,876291,277400,510400
355030807000052,1,3548534,524660,2924110
355030807000053,1,437160,227800,122900
355030807000054,1,2350063,804230,1324807
355030807000055,1,1441238,448568,920800
355030807000056,1,529990,182000,312900
355030807000057,1,1197227,606821,396500
355030807000058,1,1205046,359200,762037
355030807000059,1,3983553,488400,3414637
355030807000060,1,760145,203100,516145
355030807000061,1,440730,266250,83000
355030807000062,1,1375582,414687,895930
355030807000063,1,519989,277200,93200
355030807000064,1,517528,235093,53000
355030807000065,1,460494,252100,105500
355030807000066,1,834458,378081,194400
355030807000067,1,352225,140164,83000
355030807000068,1,977326,510085,293600
355030807000069,1,672329,318510,233099
355030807000070,1,624319,299300,197000
355030807000071,1,769755,391600,193980
355030807000072,1,431043,193320,68510
355030807000073,1,231398,104000,10000
355030807000074,1,963587,341462,513000
355030807000075,1,1269590,562500,611300
355030807000076,1,801290,338750,384845
355030807000077,1,549170,229500,230000
355030807000078,1,1312402,495332,708150
355030807000079,1,1951899,508555,1361801
355030807000080,1,684914,431267,140300
355030807000081,1,15750,14250,0
355030807000082,1,734454,271610,393000
355030807000083,1,377496,160600,8000
355030807000084,1,419862,204360,86700
355030807000085,1,494020,199700,247900
355030807000086,1,859414,496686,181700
355030807000087,1,652843,277096,240200
355030807000088,1,335901,186927,8000
355030807000089,1,282827,73500,20000
355030807000090,1,450306,223500,16000
355030807000091,1,516543,179900,43500
355030807000092,1,372380,143447,51201
355030807000093,1,400182,163900,50300
355030807000094,1,961926,473140,284300
355030807000095,1,458833,191504,32500
355030807000096,1,133604,33780,22000
355030807000097,1,156815,43007,110005
355030807000098,1,1750320,391200,1306300
355030807000099,1,3797500,971602,2663323
355030807000100,1,398251,256351,66500
355030807000101,1,707950,394280,54500
355030807000102,1,467290,139998,42997
355030807000103,1,763641,412550,197500
355030807000104,1,1888950,901968,729666
355030807000105,1,287477,32850,0
355030807000106,1,260142,24700,9000
355030807000107,1,237493,27500,7800
355030807000108,1,244953,44400,8000
355030807000109,1,380355,210900,47000
355030807000110,1,355041,209126,10000
355030807000111,1,1287954,594655,354100
355030807000112,1,349986,58900,184000
355030807000113,1,353659,137000,46000
355030807000114,1,737920,257200,203000
355030807000115,1,435614,161800,116000
355030807000116,1,198479,66510,0
355030807000117,1,248840,91200,26000
355030807000118,1,528483,159360,98000
355030807000119,1,883079,477042,130600
355030807000120,1,1100749,583020,413499
355030807000121,1,1129904,486129,515800
355030807000123,1,1516383,626214,724651
355030807000124,1,973269,620050,174500
355030807000125,1,694615,335100,237430
355030807000126,1,575391,227100,267500
355030807000127,1,994938,384920,533801
355030807000128,1,1092499,529500,335180
355030807000129,1,1263167,726950,388729
355030807000130,1,1360636,416400,875950
355030807000131,1,708901,347601,112800
355030807000132,1,612350,343326,178800
355030807000133,1,316437,181402,89000
355030807000134,1,467495,246579,69500
355030807000135,1,1633098,739151,760501
355030807000136,1,446478,290830,57500
355030807000137,1,569272,228200,155800
355030807000138,1,550959,298550,100000
355030807000139,1,417857,202000,92500
355030807000140,1,759980,303880,391500
355030807000141,1,166140,72100,62000
355030807000142,1,535003,252500,265283
355030807000143,1,290845,144570,96000
355030808000001,1,1161732,285492,800600
355030808000002,1,161118,59000,8000
355030808000003,1,900604,417255,308803
355030808000004,1,1391187,641400,591000
355030808000005,1,418350,139700,26400
355030808000006,1,492058,190529,120201
355030808000007,1,444103,262900,45000
355030808000008,1,295662,83100,39000
355030808000009,1,204917,14900,23000
355030808000010,1,262066,154300,18500
355030808000011,1,983920,420755,444400
355030808000012,1,713428,346100,174201
355030808000013,1,314932,135450,110500
355030808000014,1,267207,115200,61500
355030808000015,1,226471,57000,96000
355030808000016,1,260842,104200,26000
355030808000017,1,551153,232650,26046
355030808000018,1,445893,149600,74000
355030808000019,1,276873,80151,100200
355030808000020,1,933639,381560,416800
355030808000021,1,513575,207600,115000
355030808000022,1,424582,70600,276523
355030808000023,1,529113,152480,85000
355030808000024,1,356651,144700,25000
355030808000025,1,345937,134510,30000
355030808000026,1,337883,96300,59900
355030808000027,1,235784,72600,8000
