Cod_setor,Situacao_setor,V002,V004,Target_2_10_salarios_per_capita
355030804000057,1,456656,600,52
355030804000059,1,489767,0,36
355030804000060,1,525229,0,43
355030804000061,1,240880,0,9
355030804000062,1,3567655,0,361
355030804000063,1,837069,0,94
355030804000064,1,1008451,0,96
355030804000065,1,311990,0,25
355030804000066,1,536390,0,49
355030804000067,1,465390,0,61
355030804000068,1,527417,0,52
355030804000069,1,561277,0,65
355030804000070,1,839464,950,82
355030804000071,1,855909,0,90
355030804000072,1,293950,850,20
355030804000073,1,304106,0,31
355030804000074,1,271940,0,20
355030804000075,1,397628,0,27
355030804000076,1,408127,0,41
355030804000077,1,641535,0,62
355030804000078,1,703133,0,55
355030804000079,1,432103,0,37
355030804000080,1,449239,0,26
355030804000081,1,411373,0,27
355030804000082,1,629889,0,38
355030804000083,1,320125,0,16
355030804000084,1,635104,0,62
355030804000085,1,641762,0,77
355030804000086,1,1259095,0,147
355030804000087,1,256265,1475,16
355030804000088,1,646457,0,59
355030804000089,1,308317,510,32
355030804000090,1,482209,0,41
355030804000091,1,454243,0,40
355030804000092,1,486765,0,46
355030804000093,1,331137,0,20
355030804000094,1,234332,0,10
355030804000095,1,428286,0,36
355030804000096,1,415733,0,16
355030804000097,1,479478,0,40
355030804000098,1,409609,0,42
355030804000099,1,566772,0,44
355030804000100,1,437026,0,28
355030804000101,1,510039,0,29
355030804000102,1,499681,0,16
355030804000103,1,591336,0,63
355030804000104,1,681677,0,52
355030804000105,1,261374,0,12
355030804000106,1,615774,0,53
355030804000107,1,551357,300,43
355030804000108,1,537102,0,36
355030804000109,1,143230,0,12
355030804000110,1,446983,0,44
355030804000111,1,972588,0,132
355030804000112,1,921674,800,107
355030804000113,1,721703,0,82
355030804000114,1,455240,0,49
355030804000115,1,265169,0,14
355030804000116,1,326060,0,32
355030804000117,1,392442,0,28
355030804000118,1,628924,0,53
355030804000119,1,312033,0,29
355030804000120,1,415736,0,36
355030804000121,1,129054,0,8
355030804000122,1,538556,0,54
355030804000123,1,398902,0,47
355030804000124,1,923249,0,154
355030804000125,1,26620,0,2
355030805000001,1,648110,0,62
355030805000002,1,493635,0,48
355030805000003,1,382043,2000,40
355030805000004,1,180570,0,13
355030805000005,1,344543,0,25
355030805000006,1,768244,0,72
355030805000007,1,808690,0,60
355030805000008,1,395059,0,52
355030805000009,1,175172,0,15
355030805000010,1,208106,0,6
355030805000011,1,389131,0,29
355030805000012,1,323440,0,16
355030805000013,1,249327,0,28
355030805000014,1,433061,3000,44
355030805000015,1,618904,0,83
355030805000016,1,420179,0,59
355030805000017,1,366521,0,27
355030805000018,1,738650,0,87
355030805000019,1,681940,0,79
355030805000020,1,542427,0,62
355030805000021,1,408893,0,42
355030805000022,1,765233,0,64
355030805000023,1,650778,0,55
355030805000024,1,523080,510,47
355030805000025,1,373696,0,38
355030805000026,1,635807,0,44
355030805000027,1,794875,0,98
355030805000028,1,608866,0,69
355030805000029,1,612595,0,85
355030805000030,1,659591,0,88
355030805000031,1,383925,0,43
355030805000032,1,564512,0,53
355030805000033,1,566493,0,81
355030805000034,1,663769,0,103
355030805000035,1,654205,0,68
355030805000036,1,483967,0,50
355030805000037,1,408800,0,42
355030805000038,1,433600,0,51
355030805000039,1,454030,0,47
355030805000040,1,479563,0,45
355030805000041,1,214181,0,15
355030805000042,1,331375,0,29
355030805000043,1,571973,0,58
355030805000044,1,463578,0,31
355030805000045,1,456749,0,28
355030805000046,1,495223,0,56
355030805000047,1,444867,0,44
355030805000048,1,353459,0,40
355030805000049,1,498634,0,77
355030805000050,1,351616,0,45
355030805000051,1,958601,0,119
355030805000052,1,566112,0,85
355030805000053,1,403437,0,57
355030805000054,1,470337,0,58
355030805000055,1,491621,0,59
355030805000056,1,584415,0,69
355030805000057,1,578687,1200,46
355030805000058,1,633041,0,65
355030805000059,1,178500,0,14
355030805000060,1,539951,0,53
355030805000061,1,596681,0,71
355030805000062,1,589503,0,64
355030805000063,1,991118,0,106
355030805000064,1,447148,0,42
355030805000065,1,465620,0,36
355030805000066,1,422103,0,45
355030805000067,1,319040,0,30
355030805000068,1,433566,0,39
355030805000069,1,681518,0,59
355030805000070,1,588102,0,50
355030805000071,1,60620,0,1
355030805000072,1,675229,0,94
355030805000073,1,589550,0,59
355030805000074,1,707246,0,88
355030805000075,1,957084,0,124
355030805000076,1,695525,0,91
355030805000077,1,563619,0,84
355030805000078,1,579834,0,76
355030805000079,1,542946,0,75
355030805000080,1,373375,0,63
355030805000081,1,658235,0,93
355030805000082,1,334655,0,30
355030805000083,1,532957,0,50
355030805000084,1,648596,0,79
355030805000085,1,639545,0,63
355030805000086,1,683313,0,93
355030805000087,1,328153,1300,32
355030805000088,1,602446,0,74
355030805000089,1,802388,0,108
355030805000090,1,353076,0,24
355030805000091,1,582367,0,58
355030805000092,1,785983,0,101
355030805000093,1,626096,0,98
355030805000094,1,616866,0,95
355030805000095,1,800984,0,110
355030805000096,1,418058,0,34
355030805000097,1,453706,0,61
355030805000098,1,387820,0,4
355030805000099,1,549900,0,36
355030805000100,1,556438,0,44
355030805000101,1,215498,0,10
355030805000102,1,819061,0,85
355030805000103,1,609237,0,29
355030805000104,1,362883,0,12
355030805000105,1,301044,0,7
355030805000106,1,247773,8000,8
355030805000107,1,383643,0,27
355030805000108,1,378253,0,37
355030805000109,1,603324,0,48
355030805000110,1,519948,0,48
355030805000111,1,683856,0,94
355030805000112,1,234947,0,4
355030805000113,1,498125,0,76
355030805000114,1,391116,0,47
355030805000115,1,564752,0,68
